verb	freq	adv_continuous	adv_evaluation	adv_manner	adv_temporal	for_pp	fut	in_pp	neg	noSubj	past	perfect	present	progressive	prt
implementi	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
implementng	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
implemet	1	1	1	1	1	1	1	1	1	5	2	2	1	1	1
implemnt	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
implemt	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
implent	1	1	1	1	1	1	1	1	1	5	2	2	1	1	1
implete	1	1	1	1	1	1	1	1	1	1	1	5	5	1	1
implicate	1	1	1	1	1	1	1	1	1	4	1	2	1	1	1
implication	1	1	1	1	1	1	1	1	1	1	1	2	3	1	1
implicit	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
implicitly	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
implict	1	1	1	1	1	1	1	1	1	2	4	2	2	1	1
impliment	1	1	1	1	1	1	1	1	2	4	1	3	3	1	1
implly	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
implment	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
implode	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1
implore	1	1	1	1	1	1	1	1	1	1	3	1	2	1	1
implorer	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
imply	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1
impo	1	1	1	1	1	1	5	1	1	1	1	1	1	1	1
impolite	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
impond	1	1	1	1	1	1	1	1	1	1	5	5	1	1	1
impopt	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
impopular	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
imporove	1	1	1	1	1	1	1	1	1	3	3	1	1	1	1
imporse	1	1	1	1	1	1	1	1	1	1	1	5	5	1	1
import	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1
import\/export	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
importan	1	1	1	1	1	1	1	1	5	5	5	5	1	1	1
importance	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1
important	1	1	1	1	1	1	1	1	1	2	1	1	3	1	1
importantly	1	1	1	1	1	1	1	1	1	4	1	1	2	1	1
importate	1	1	1	1	1	1	1	1	1	1	5	1	1	5	1
importation	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1
imported\/made	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
importer	1	1	1	1	1	1	1	1	1	2	1	1	4	1	1
importune	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
imporve	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1
impos3iln	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
impose	1	1	1	1	1	1	1	1	1	4	2	1	1	1	1
imposer	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
imposition	1	1	1	1	1	1	1	1	1	3	1	1	5	1	1
imposs	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
impossible	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1
impotence	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
impotent	1	1	1	1	1	1	1	1	1	4	2	2	3	1	1
impound	1	1	1	1	1	1	1	1	1	4	2	2	1	1	1
impove	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1
impoverish	1	1	1	1	1	1	1	1	1	4	1	2	2	1	1
impoverishment	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
impprove	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
impr\/ydtqurveillance	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
impracticable	1	1	1	1	1	1	1	1	1	2	1	1	4	1	1
impractical	1	1	1	1	1	1	1	1	1	5	5	1	1	1	1
imprecate	1	1	1	5	1	1	1	1	1	1	5	1	1	1	1
imprecise	1	1	1	1	1	1	1	1	1	3	1	1	3	1	1
impregnate	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
imprese	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
impress	1	1	1	1	1	1	1	1	1	4	3	3	1	1	1
impression	1	1	1	1	1	1	1	1	1	2	1	1	5	1	1
impressive	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1
impressively	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
imprint	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1
imprision	1	1	1	1	1	1	1	1	1	5	3	3	1	1	1
imprison	1	1	1	1	1	1	1	1	1	5	2	2	1	1	1
imprisonement	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
imprisonment	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1
improbable	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
improe	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
impromptness	1	1	1	1	1	1	1	1	1	5	1	1	5	1	1
impromptu	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
improper	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
improperly	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
improvce	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
improve	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1
improveme	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
improvement	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1
improven	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
improverish	1	1	1	1	2	1	1	1	1	3	1	3	3	1	1
improvie	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
improvise	1	1	1	1	1	1	1	1	1	3	3	1	1	1	1
improvize	1	1	1	1	1	1	1	1	1	5	5	1	1	1	1
imprudence	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
imprudent	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
impse	1	1	1	1	1	1	1	5	1	5	1	1	1	1	1
impsoe	1	1	1	1	1	1	1	1	1	5	5	5	1	1	1
impudence	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
impugn	1	1	1	1	1	1	1	1	1	3	2	1	2	1	1
impugne	1	1	1	1	1	1	1	1	5	1	1	1	1	1	1
impulse	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
impulsive	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
impune	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
impunity	1	1	1	1	1	1	1	1	1	3	1	2	2	1	1
impure	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
impute	1	1	1	1	1	1	1	1	1	3	2	1	1	1	1
impy	1	1	1	1	1	1	1	1	1	5	5	1	1	1	1
imran	1	1	1	1	2	1	1	1	1	4	1	1	1	1	1
imre	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
imrie	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
imrove	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
imrpison	1	1	1	1	5	1	1	1	1	5	5	5	1	1	1
imrpove	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1
imt-2000	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
in	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
in-between	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
in-bounded	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
in-charge	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
in-company	1	1	1	1	1	1	5	1	1	5	1	1	1	1	1
in-corparated	1	1	1	1	1	1	1	1	1	5	5	5	1	1	1
in-depth	1	1	1	1	1	1	1	1	1	4	1	1	2	1	1
in-fighting	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
in-fill	1	1	1	1	1	1	1	5	1	5	1	1	1	1	1
in-form	1	1	1	1	1	1	1	1	1	3	1	1	3	1	1
in-hand	1	1	1	1	1	3	1	1	1	3	1	3	3	1	1
in-laid	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
in-licensing	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
in-taken	1	1	1	1	1	1	1	1	5	1	1	1	1	1	1
in-the-round	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
in-turn	1	1	1	1	1	1	5	1	1	1	1	1	1	1	1
in19	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
in1993	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
in47tvxpt	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
ina	1	1	1	1	1	1	1	1	1	2	1	1	3	1	1
inability	1	1	1	1	1	1	1	1	1	3	1	1	2	1	1
inacceptable	1	1	1	1	1	1	1	1	1	5	1	1	5	1	1
inaccessibility	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
inaccesssible	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
inaccuracy	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
inaccurate	1	1	1	1	1	1	1	1	1	5	1	1	5	1	1
inacio	1	1	1	1	1	1	1	1	1	1	3	1	2	1	1
inaction	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
inactivate	1	1	1	1	1	1	1	1	1	3	1	1	2	1	1
inactive	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
inactivity	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
inada	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
inadequacy	1	1	1	1	1	1	1	1	1	5	1	1	3	1	1
inadequate	1	1	1	1	1	1	1	1	1	3	3	1	3	2	1
inadmissable	1	1	1	1	1	1	1	1	1	5	3	1	1	1	1
inadmissible	1	1	1	1	1	1	1	1	1	3	1	1	3	1	1
inadvertent	1	1	1	1	1	1	1	1	5	1	1	5	1	5	1
inadvertently	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
inadvisable	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
inagurate	1	1	1	1	1	1	1	1	1	4	3	2	1	1	1
inal	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
inamoto	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
inance	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
inancsi	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
inappropriate	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1
inappropriateness	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
inasmuch	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
inauagurate	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
inaudible	1	1	1	1	1	1	1	1	1	5	1	1	5	1	1
inaugarate	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
inaugerate	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
inaugrate	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
inauguarate	1	1	1	1	1	1	1	1	1	3	4	1	1	1	1
inauguart	1	1	1	1	1	1	1	1	1	3	3	1	1	1	1
inauguate	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
inaugurae	1	1	1	1	1	1	1	1	1	5	5	5	1	1	1
inaugural	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1
inauguratae	1	1	1	1	1	1	1	1	1	5	5	5	1	1	1
inaugurate	1	1	1	1	1	1	1	1	1	4	2	2	1	1	1
inauguration	1	1	1	1	1	1	1	1	1	2	1	1	2	2	1
inaugurt	1	1	1	1	1	1	1	5	1	1	5	1	1	1	1
inaurgurate	1	1	1	1	1	1	1	1	1	5	5	5	1	1	1
inaururate	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
inauspicious	1	1	1	1	1	1	1	1	1	5	1	1	5	1	1
inauthorise	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
inay	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
inazmam-ul-haq	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
inb	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
inbabit	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
inbend	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
inberg	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
inboard	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
inborn	1	1	1	1	1	1	1	1	1	5	1	3	3	1	1
inbound	1	1	1	1	1	1	1	1	1	4	3	3	1	1	1
inbow	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
inbreak	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
inbreed	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
inbuild	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
inc	1	1	1	1	1	1	1	1	1	4	1	1	2	1	1
inca	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
incacerate	1	1	1	1	1	5	1	1	1	5	5	5	1	1	1
incalculable	1	1	1	1	1	1	1	1	1	3	1	3	1	1	1
incalculatable	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
incalculate	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
incantation	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
incapacit	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
incapacitate	1	1	1	1	1	1	1	1	1	4	1	3	3	1	1
incarcerate	1	1	1	1	1	1	1	1	1	5	2	3	2	1	1
incarceration	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
incarcirate	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
incarnate	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1
incarnation	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
incase	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
incbiah	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
incclude	1	1	1	1	1	1	1	1	1	3	1	1	3	1	1
ince	1	1	1	1	1	1	1	1	1	3	1	1	2	1	1
incease	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1
incense	1	1	1	1	1	1	1	1	1	4	3	3	1	1	1
incent	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
incentive	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
incentivize	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
incept	1	1	1	1	1	1	1	1	1	5	4	4	1	1	1
inceptive	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
incerase	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
incerease	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
incern	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
incertitude	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
incessant	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
incessantly	1	1	1	1	1	1	1	1	1	5	1	2	2	1	1
incessantly\/drinking	1	1	1	1	1	1	1	1	1	5	1	1	1	1	5
inch	1	1	1	1	1	1	1	1	1	1	4	1	1	1	3
inchangee	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
incheon	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
inchon	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
incicate	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
incidate	1	1	1	1	1	1	1	1	1	1	2	1	3	1	1
incidence	1	1	1	1	1	1	1	1	1	2	1	1	3	1	1
incident	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1
incidental	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
incidentally	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
incinerate	1	1	1	1	1	1	1	1	1	4	2	1	1	1	1
incineration	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
incinerator	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
incipient	1	1	1	1	2	1	1	1	1	5	1	1	1	1	1
incise	1	1	1	1	1	1	1	1	1	5	2	1	1	1	1
incisive	1	1	1	1	1	1	1	1	1	5	5	1	1	1	1
incite	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1
incitement	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
inciter	1	1	1	1	1	1	1	1	1	5	1	1	5	1	1
incitment	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
incl	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
incld	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
incldude	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
incldue	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
incle	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
inclement	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
inclide	1	1	1	1	1	1	1	1	1	3	1	1	2	1	1
inclination	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1
inclinde	1	1	1	1	1	1	1	1	1	1	1	5	5	1	1
incline	1	1	1	1	1	1	1	1	1	4	2	3	2	1	1
incllude	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
inclode	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
inclose	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
incloud	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
inclu	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1
inclu2	1	1	1	1	1	1	5	1	1	5	1	1	1	1	1
includ	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1
include	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1
includee	1	1	1	1	1	1	1	1	1	5	1	1	1	1	5
includeed	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
includeoup	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
includeq	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
includie	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
includig	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
includin	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
includinafghanistan	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
includinf	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
includingave	1	1	1	1	1	1	1	1	5	5	1	1	5	1	1
includingn	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
includingou	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
includiong	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
includiung	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
includng	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
includnot	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
includsb	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
includue	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
inclue	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
incluede	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
incluence	1	1	1	1	1	1	1	1	3	5	1	1	1	1	1
incluidng	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
incluld	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
inclund	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
inclung	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
inclus	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
inclusion	1	1	1	1	1	1	1	1	1	4	1	1	2	1	1
inclusive	1	1	1	1	1	1	1	1	1	4	1	1	2	1	1
incluzpf	1	1	1	1	1	1	1	1	1	5	1	1	5	1	1
inclwte	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
inco	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
incognito	1	1	1	1	1	1	1	1	1	5	5	5	1	1	1
incoherently	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
incolve	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
income	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1
incommode	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
incommunicado	1	1	1	1	1	1	1	1	1	5	2	4	3	1	1
incomparable	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
incompatable	1	1	1	1	1	1	1	1	1	5	1	5	5	1	1
incompatible	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1
incompetence	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
incompetent	1	1	1	1	1	1	1	1	1	4	2	2	1	1	1
incomprehensible	1	1	1	1	1	1	1	1	1	4	3	2	1	1	1
incomprehension	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
inconceivable	1	1	1	1	1	1	1	1	1	2	2	1	2	2	1
inconclusive	1	1	1	1	1	1	1	1	1	4	3	3	1	1	1
incongruous	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
inconsiderable	1	1	1	1	1	1	1	1	3	2	1	1	1	1	1
inconsist	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
inconsistant	1	1	1	1	1	1	1	1	1	5	5	5	1	1	1
inconsistent	1	1	1	1	1	1	1	1	1	3	1	1	3	1	1
inconsolable	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
inconstitutional	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
incontinence	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
incontrovertible	1	1	1	1	1	1	1	1	1	1	1	5	5	1	1
inconvenien	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
inconvenience	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1
inconvenince	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
incoporate	1	1	1	1	1	1	1	1	1	2	1	1	4	2	1
incoprorate	1	1	1	1	1	1	5	1	1	5	1	1	1	1	1
incororate	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
incororporate	1	1	1	1	1	1	1	1	5	5	5	5	1	1	1
incorpate	1	1	1	1	1	1	1	1	1	3	1	1	2	1	1
incorporae	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
incorporate	1	1	1	1	1	1	1	1	1	3	1	1	2	1	1
incorporating	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
incorporation	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
incorport	1	1	1	1	3	1	1	1	1	5	3	5	3	1	1
incorportate	1	1	1	1	1	1	1	1	1	5	5	5	1	1	1
incorprate	1	1	1	1	1	1	1	1	1	3	1	1	3	1	1
incorproat	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
incorprorate	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
incorrect	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
incovenience	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
incr	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
incraese	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
incrase	1	1	1	1	1	1	3	1	1	1	3	1	1	1	1
incre	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
increa	1	1	1	1	1	1	2	1	1	2	2	2	2	1	1
increaase	1	1	1	1	1	1	1	1	1	1	5	5	1	1	1
increace	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
incread	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
increaisng	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
increand4	1	1	1	1	1	1	1	1	1	1	1	5	5	1	1
increanw	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
increasae	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
increasd	1	1	1	1	1	1	1	1	1	4	5	1	1	2	1
increase	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1
increasee	1	1	1	1	1	1	1	1	1	4	1	1	2	2	1
increaseed	1	1	1	1	1	1	1	1	1	2	3	1	1	1	1
increasig	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
increasingly	1	1	1	1	1	1	1	1	1	4	2	2	2	1	1
increasisng	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
increasse	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
increate	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
incredible	1	1	1	1	2	1	1	1	1	1	1	1	2	2	1
incredibly	1	1	1	1	1	1	1	1	1	4	1	1	2	1	1
incredulity	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
incredulous	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
increease	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
increment	1	1	1	1	1	1	2	1	1	4	1	1	1	1	1
incresae	1	1	1	1	1	1	1	1	1	1	1	5	5	1	1
increse	1	1	1	1	1	1	1	1	1	3	2	1	1	1	1
incresead	1	1	1	1	5	1	1	1	1	5	1	5	5	1	1
incriminale	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
incriminate	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1
incriminatng	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
incrsae	1	1	1	1	1	1	1	1	5	1	1	1	1	1	1
incsure	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
incubate	1	1	1	1	1	1	1	1	1	3	1	1	2	1	1
incubator	1	1	1	1	1	1	1	1	1	5	1	1	5	1	1
incude	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1
incue	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
inculcate	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1
inculcde	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
inculd	1	1	1	1	1	1	1	1	1	5	2	2	1	1	1
inculpate	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
incumbant	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
incumbency	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
incumbent	1	1	1	1	1	1	1	1	1	3	1	1	3	1	1
incur	1	1	1	1	1	1	1	1	1	3	2	1	1	1	1
incurable	1	1	1	1	1	1	1	1	1	4	1	1	2	1	1
incure	1	1	1	1	1	1	1	1	1	1	5	5	1	1	1
incurease	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
incurr	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
incurreed	1	1	1	1	5	1	1	1	1	5	1	1	1	1	1
incursion	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
ind	1	1	1	1	1	1	1	1	1	3	1	1	3	1	1
ind-dawkins	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
ind-faulk	1	1	1	1	1	1	1	1	1	1	3	1	3	1	1
ind-turner	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
indarti	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
indcate	1	1	1	1	3	1	1	1	1	1	3	1	3	1	1
indciate	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
indcite	1	1	1	1	1	1	1	1	1	5	5	5	1	1	1
indclude	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
indd	1	1	1	1	1	1	1	1	1	2	5	1	1	1	1
inde-etats-unis	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
indebt	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
indecent	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
indecipherable	1	1	1	1	1	1	1	1	1	5	1	3	3	1	1
indecision	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
indecisive	1	1	1	1	1	1	1	1	1	5	3	3	1	1	1
indeed	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1
indefatigable	1	1	1	1	1	1	1	1	1	1	1	5	5	1	1
indefensible	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
indefinite	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
indefinitely	1	1	1	1	1	1	1	1	2	3	2	1	1	1	1
indelible	1	1	1	1	1	1	1	1	1	5	3	3	1	1	1
indemnification	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
indemnify	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1
indemnity	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
indend	1	1	1	1	1	1	1	1	3	1	3	3	3	1	1
